product_id,product_name,brand_name,category,list_price,discount_price,sale_in_30days,rating,no_of_reviews,first_available,rankings,stock_alert
125908,"SheaMoisture, Intensive Hydration Leave-In Conditioner, Manuka Honey & Mafura Oil, Extra Dry, Damaged Hair, 11.5 fl oz (340 ml)",SheaMoisture,Conditioner,107.26,107.26,400,4.5,220,07/2023,"{'ranking_leave-in_conditioner': 29, 'ranking_conditioner': 137, 'ranking_hair_care': 644}",
102821,"SheaMoisture, 100% Virgin Coconut Oil, Daily Hydration Conditioner, All Hair Types, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,200,4.5,1113,11/2020,"{'ranking_conditioner': 142, 'ranking_hair_care': 654}",
115681,"Giovanni, Curl Defining Conditioner, For All Curl Types, 13.5 fl oz (399 ml)",Giovanni,Conditioner,91.44,91.44,200,4.6,353,10/2022,"{'ranking_conditioner': 142, 'ranking_hair_care': 654}",
115682,"Giovanni, Curl Habit, Curl Defining Leave-In Conditioning & Styling Elixir, For All Curl Types, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,200,4.5,421,10/2022,"{'ranking_leave-in_conditioner': 31, 'ranking_conditioner': 147, 'ranking_hair_care': 681}",
122072,"Kitsch, Hydrating Solid Conditioner Bar, Shea Butter, Sugared Amber & Shea, 1 Bar, 2.7 oz (77 g)",Kitsch,Conditioner,110.51,110.51,100,4.7,118,06/2023,"{'ranking_conditioner': 147, 'ranking_hair_care': 681}",
99932,"Giovanni, Tea Tree Triple Treat, Invigorating Conditioner, For All Hair Types, 2 fl oz (60 ml)",Giovanni,Conditioner,19.48,19.48,300,4.6,8118,04/2020,"{'ranking_conditioner': 149, 'ranking_hair_care': 691}",
92401,"Dove, Men+Care, 2 in 1 Shampoo + Conditioner, Fresh & Clean, 25.4 fl oz (750 ml)",Dove,Conditioner,94.26,94.26,100,4.6,103,06/2022,"{""ranking_men's_shampoo"": 6, ""ranking_men's_grooming"": 56, 'ranking_conditioner': 149, 'ranking_shampoo': 212, 'ranking_hair_care': 691}",
109286,"Giovanni, Smoothing Castor Oil Conditioner, For All Hair Types, 13.5 fl oz (399 ml)",Giovanni,Conditioner,91.44,91.44,100,4.6,487,10/2021,"{'ranking_conditioner': 159, 'ranking_hair_care': 732}",
125031,"L'Oréal, EverPure, 3 Glossing Conditioner, 8.5 fl oz (250 ml)",L'Oréal,Conditioner,100.12,100.12,,4.8,64,07/2023,"{'ranking_conditioner': 154, 'ranking_hair_care': 715}",out of stock
119078,"Cantu, Avocado Hydrating, Repair Leave-In Cream, 12 oz (340 g)",Cantu,Conditioner,66.88,66.88,100,4.7,283,04/2023,"{'ranking_leave-in_conditioner': 36, 'ranking_conditioner': 175, 'ranking_hair_care': 774}",
120669,"SheaMoisture, Anti-Dandruff Leave-In, Apple Cider Vinegar, 4 fl oz (118 ml)",SheaMoisture,Conditioner,113.75,113.75,100,4.3,98,05/2023,"{'ranking_leave-in_conditioner': 36, 'ranking_conditioner': 175, 'ranking_hair_care': 774}",
143767,"Dove, Bond Strength + Peptide Complex Conditioner, 12 fl oz (355 ml)",Dove,Conditioner,34.2,30.78,,5,6,08/2024,"{'ranking_conditioner': 157, 'ranking_hair_care': 722}",coming soon
124727,"Mielle, Anti-Shedding, Leave-In Conditioner, Sea Moss Blend, 8 fl oz (236.6 ml)",Mielle,Conditioner,106.8,106.8,100,4.5,118,07/2023,"{'ranking_sea_moss,_beauty': 2, 'ranking_leave-in_conditioner': 38, 'ranking_conditioner': 179, 'ranking_beauty_by_ingredient': 394, 'ranking_hair_care': 784}",
75775,"Giovanni, 2chic, Repairing Conditioner, For Damaged, Over-Processed Hair, Blackberry + Coconut Milk, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,100,4.6,1260,07/2017,"{'ranking_conditioner': 182, 'ranking_hair_care': 798}",
110485,"Mielle, Moisturizing and Detangling Conditioner, Pomegranate & Honey, 12 fl oz (355 ml)",Mielle,Conditioner,124.98,124.98,200,4.5,332,12/2021,"{'ranking_detangler': 14, 'ranking_conditioner': 185, 'ranking_hair_care': 813}",
98850,"Luseta Beauty, Biotin & Collagen Conditioner, For Thin & Dry Hair, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,110.48,110.48,100,4.5,434,01/2020,"{'ranking_conditioner': 198, 'ranking_hair_care': 864}",
122077,"Kitsch, Purple Toning Solid Conditioner Bar, Biotin, Orange Blossom & Jasmine, 1 Bar, 2.7 oz (77 g)",Kitsch,Conditioner,110.51,110.51,100,4.6,97,06/2023,"{'ranking_conditioner': 198, 'ranking_hair_care': 864}",
119069,"Cantu, Avocado Hydrating Conditioner, 13.5 fl oz (400 ml)",Cantu,Conditioner,66.89,66.89,100,4.6,131,04/2023,"{'ranking_conditioner': 204, 'ranking_hair_care': 892}",
75774,"Giovanni, 2chic, Repairing Conditioner, For Damaged, Over-Processed Hair, Blackberry + Coconut Milk, 24 fl oz (710 ml)",Giovanni,Conditioner,143.79,143.79,100,4.7,906,07/2017,"{'ranking_conditioner': 208, 'ranking_hair_care': 914}",
111225,"Luseta Beauty, Keratin, Leave-In Conditioner, For Fine & Dry Hair, 8.5 fl oz (251 ml)",Luseta Beauty,Conditioner,131.2,131.2,,4.6,298,11/2021,"{'ranking_leave-in_conditioner': 42, 'ranking_conditioner': 208, 'ranking_hair_care': 914}",
